BayerF,Common,Parallax,Distance,Umag,Vmag,Bmag,Temp,RA_decimal,Dec_decimal,RA,Dec,Diameter_U,Diameter_V,Diameter_B,Phi_U,Phi_V,Phi_B,SII,Baseline_Needed,Inverse_Diameter
λ Scorpii,Shaula,,125.0,0.52,1.73,1.41,28000.0,12.443,-62.901,17h 33m 36.5s,-37° 06′ 14″,0.82,0.64,0.64,2.0606045555633998e-05,1.0029678957412406e-05,1.102339935585186e-05,False,212.26638415008034,1.5625
ε Ursae Majoris,Alioth,0.009,28.571,1.77,1.86,1.75,24000.0,13.792,49.313,12h 54m 01.7s,+55° 57′ 35″,1.56,0.65,1.49,6.516203752499331e-06,8.89788998587905e-06,8.059638101909236e-06,True,209.00074747084838,1.5384615384615383
ε Carinae,Avior,,52.632,3.33,1.98,3.14,28000.0,6.378,-16.044,08h 22m 30.8s,-59° 30′ 35″,8.12,0.57,5.51,1.5487975594796526e-06,7.966857181092643e-06,2.240348296521535e-06,True,238.33418571237095,1.7543859649122808
α Pavonis,Peacock,,41.667,1.03,2.05,1.74,33000.0,5.679,-0.057,20h 25m 38.9s,-56° 44′ 06″,0.65,0.51,0.55,1.2882336987474141e-05,7.469422607597101e-06,8.134213015085467e-06,True,266.3735016785322,1.9607843137254901
α Geminorum,Castor,0.067,66.667,2.02,2.06,2.01,30000.0,5.796,-8.33,07h 34m 36.0s,+31° 53′ 18″,1.46,0.53,1.38,5.176004623826516e-06,7.40094252951142e-06,6.343304234573873e-06,True,256.3216714265121,1.8867924528301885
θ Centauri,Menkent,0.065,71.429,3.94,2.23,3.07,33000.0,5.533,0.299,14h 06m 41.0s,-36° 22′ 12″,4.15,0.47,4.12,8.830690334109142e-07,6.328299600957815e-06,2.3895468032746778e-06,False,289.04358692776907,2.127659574468085
β Cassiopeiae,Caph,0.072,62.5,2.72,2.47,2.61,30000.0,0.945,60.717,00h 09m 10.7s,+59° 08′ 59″,2.17,0.44,1.88,2.716405840871466e-06,5.073258968632882e-06,3.6501905912536953e-06,False,308.7511042182987,2.272727272727273
ε Scorpii,,0.022,76.923,4.71,2.5,3.44,26000.0,9.369,-54.989,16h 50m 09.8s,-34° 17′ 36″,3.74,0.47,4.28,4.3450487717417405e-07,4.93499857723922e-06,1.6994779779960648e-06,False,289.04358692776907,2.127659574468085
η Centauri,,,333.333,1.29,2.56,2.12,33000.0,16.619,-9.433,14h 35m 30.4s,-42° 09′ 28″,0.55,0.41,0.44,1.01389890874249e-05,4.669679045071057e-06,5.732123533233121e-06,True,331.34264842939376,2.4390243902439024
β Ursae Majoris,Merak,0.053,38.462,2.36,2.6,2.35,26000.0,12.139,-49.277,11h 01m 50.5s,+56° 22′ 57″,1.25,0.45,1.18,3.784379276770457e-06,4.500772194648171e-06,4.637837644322793e-06,False,301.8899685690032,2.2222222222222223
β Pegasi,Scheat,0.022,111.111,6.05,2.62,4.09,28000.0,16.091,-18.194,23h 03m 46.5s,+28° 04′ 58″,14.49,0.43,16.08,1.2647207838743026e-07,4.418623844097392e-06,9.339326131297506e-07,False,315.9313624559336,2.3255813953488373
γ Ursae Majoris,Phecda,0.028,1000.0,2.46,2.64,2.44,16000.0,5.661,-33.926,11h 53m 49.8s,+53° 41′ 41″,1.14,0.6,1.08,3.4513949206485413e-06,4.337974869921644e-06,4.268895673577673e-06,False,226.4174764267524,1.6666666666666667
γ¹ Leonis,Algieba,0.022,40.0,4.76,2.77,3.76,33000.0,5.591,-4.09,10h 19m 58.3s,+19° 50′ 30″,3.21,0.37,3.32,4.149489362914913e-07,3.848460485920581e-06,1.2656555891627681e-06,False,367.16347528662544,2.7027027027027026
β¹ Scorpii,Acrab,0.009,125.0,1.68,2.78,2.55,26000.0,15.586,-40.833,16h 05m 26.2s,-19° 48′ 20″,0.46,0.41,0.36,7.079370725424912e-06,3.813177588107674e-06,3.857585328803869e-06,False,331.34264842939376,2.4390243902439024
α Serpentis,Unukalhai,0.053,333.333,5.06,2.8,3.82,26000.0,12.252,-57.251,15h 44m 16.1s,+06° 25′ 32″,3.19,0.41,3.59,3.14770957852938e-07,3.7435792534945915e-06,1.1976103519561352e-06,False,331.34264842939376,2.4390243902439024
ι Aurigae,Kabdhilinan,0.021,50.0,6.0,2.82,4.22,30000.0,16.598,-27.784,04h 56m 59.6s,+33° 09′ 58″,2.37,0.38,3.35,1.324325238108093e-07,3.6752512316506115e-06,8.285439325763821e-07,False,357.5012785685564,2.6315789473684212
υ Scorpii,Lesath,,100.0,1.65,2.85,2.47,28000.0,3.902,31.884,17h 30m 45.8s,-37° 17′ 45″,0.49,0.38,0.39,7.277708486216254e-06,3.575090432271e-06,4.152556415066174e-06,False,357.5012785685564,2.6315789473684212
δ Ophiuchi,Yed Prior,0.034,125.0,6.28,2.87,4.32,16000.0,3.791,24.105,16h 14m 20.7s,-03° 41′ 40″,7.68,0.54,9.35,1.0232803998383619e-07,3.5098376779924884e-06,7.556410473922279e-07,False,251.57497380750266,1.8518518518518516
ι Orionis,Nair Al Saif,0.025,111.111,1.45,2.89,2.53,30000.0,3.964,40.01,05h 35m 26.0s,-05° 54′ 36″,0.46,0.36,0.33,8.74973007849117e-06,3.4457759207031708e-06,3.929303194603522e-06,False,377.362460711254,2.7777777777777777
β Ophiuchi,Cebalrai,0.033,100.0,5.17,2.89,3.93,28000.0,15.981,-25.886,17h 43m 28.4s,+04° 34′ 02″,3.03,0.38,3.41,2.8444261040687187e-07,3.4457759207031708e-06,1.0822199642695407e-06,False,357.5012785685564,2.6315789473684212
β Eridani,Cursa,0.05,52.632,3.02,2.9,2.92,14000.0,7.453,8.289,05h 07m 51.0s,-05° 05′ 11″,1.03,0.6,0.99,2.0606045555633996e-06,3.414184857174979e-06,2.7435668159161346e-06,False,226.4174764267524,1.6666666666666667
τ Scorpii,Alniyat,0.02,142.857,1.54,2.95,2.57,26000.0,17.531,-48.124,16h 35m 53.0s,-28° 12′ 58″,0.46,0.38,0.34,8.053685303703014e-06,3.2605212259087636e-06,3.787176461577277e-06,False,357.5012785685564,2.6315789473684212
